Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Total Communication,Units of Communication (eg messages vs bits),Total Comm Refrence,Communication Rounds,Rounds Refrence,Computation Time Complexity,Time Refrence,Parameter definitions,Preferred Parameter,Computational Model,Asynchronous or Scyncronous?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Lower Bound Runtime,Lower Bound Reference,Heuristic-based?,Quantum?,GPU-based?,Other References,"Algorithm family
parameters",Description of Inputs,Upper Bound Runtime,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Domains
,Maximal Independent Set,1,Generic,,"Given a LOCAL algorithm A that computes an MIS on any N-node graph in T(N) rounds, there is a LOCAL algorithm B that computes a ∆ + 1 coloring of any n-node graph with maximum degree ∆ in T(n(∆ + 1)) rounds.",,,,,,,[  ()],,,,,,,,,,,,,,O(log n),,,,A: local algorithm that computes MIS B: local algorithm that computes ∆ + 1 coloring of any n=node graph N: nodes ,,Local,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximal Independent Set,1,Sublogarithmic-Time Randomized Coloring,,"There is a randomized LOCAL algorithm that computes a ∆(1 + ε)- coloring in O( p log n) rounds11, for any constant ε > 0, with high probability.",,,,,,,[ Sublogarithmic-Time Randomized Coloring ()],Sublogarithmic-Time Randomized Coloring,,,n,,,,,,,,,,O(sqrt(log n)),,,,A: local algorithm that computes MIS B: local algorithm that computes ∆ + 1 coloring of any n=node graph N: nodes ,,Local,,Yes,node killing  ,,,Θ(sqrt(log n)/ε) for ε>0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximal Independent Set,1,Luby's MIS Algorithm,,"computes an MIS in merely O(log n) rounds, with high probability",,,,,,"Michael Luby. A simple parallel algorithm for the maximal independent set problem. In Proc. of the Symp. on Theory of Comp. (STOC), pages 1–10, 1985.","[Michael Luby. A simple parallel algorithm for the maximal independent set problem. In Proc. of the Symp. on Theory of Comp. (STOC), pages 1–10, 1985. Luby's MIS Algorithm (1985)]",Luby's MIS Algorithm,1985,"Michael Luby. A simple parallel algorithm for the maximal independent set problem. In Proc. of the Symp. on Theory of Comp. (STOC), pages 1–10, 1985.",n,,,,,,,,,,O(log n),,,,A: local algorithm that computes MIS B: local algorithm that computes ∆ + 1 coloring of any n=node graph N: nodes ,,Local,,Yes,node killing  ,,,(sigma_P w∈N(e) Xw→e)/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Network Decomposition,1,Randomized Construction,,"randomized LOCAL algorithm that computes a (C, D) weak-diameter network decomposition of any n-node graph G, for C = O(log n) and D = O(log n), in O(log2 n) rounds, with high probability.",,,,,," NEEDED: https://people.csail.mit.edu/ghaffari/DA22/Notes/DGA.pdf#page=16&zoom=100,134,470 - section 1.5.2\","[ NEEDED: https://people.csail.mit.edu/ghaffari/DA22/Notes/DGA.pdf#page=16&zoom=100,134,470 - section 1.5.2\ Randomized Construction ()]",Randomized Construction,," NEEDED: https://people.csail.mit.edu/ghaffari/DA22/Notes/DGA.pdf#page=16&zoom=100,134,470 - section 1.5.2\",,,,,,,,,,,O(log^2(n)),,"O(log n/ε) with high probability  1 −(1/n^c) , for a desirably large but fixed constant c > 2 ",,"V: number of graph nodes
E: number of edges C: number of vertex-disjoint graphs D: diameter",,Local,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C and D are nearly optimal,
,Network Decomposition,1,Deterministic Construction 1 - Subpolynomial Time,,"There is a deterministic LOCAL algorithm that computes a (C, D)
strong-diameter network decomposition of any n-node graph G, for C = 2
O(√log n) and D = 2^O(√log n), in 2^O(√log n)rounds.",,,,,,"Alessandro Panconesi and Aravind Srinivasan. Improved distributed algorithms for coloring and network decomposition problems. In Proc. of the Symp. on Theory of Comp. (STOC), pages 581–592. ACM, 1992.","[Alessandro Panconesi and Aravind Srinivasan. Improved distributed algorithms for coloring and network decomposition problems. In Proc. of the Symp. on Theory of Comp. (STOC), pages 581–592. ACM, 1992. Deterministic Construction 1 (1992)]",Deterministic Construction 1,1992,"Alessandro Panconesi and Aravind Srinivasan. Improved distributed algorithms for coloring and network decomposition problems. In Proc. of the Symp. on Theory of Comp. (STOC), pages 581–592. ACM, 1992.",,,,,,,,D = O(log n) logd n = 2 O( √ log n log log n),,,2^O(√log n),"Alessandro Panconesi and Aravind Srinivasan. Improved distributed algorithms for coloring and network decomposition problems. In Proc. of the Symp. on Theory of Comp. (STOC), pages 581–592. ACM, 1992.",,,,,local,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Network Decomposition,1,"Deterministic Construction 2 - Polylogarithmic Time",,". There is a deterministic LOCAL algorithm that computes a (C, D) strong-diameter network decomposition of any n-node graph G, for C = O(log n) and D = O(log n), in O(log8 n) rounds",,,,,,"Vaclav Rozhon and Mohsen Ghaffari. Polylogarithmic-time deterministic network decomposition and distributed derandomization. In STOC, page to appear, 2020.","[Vaclav Rozhon and Mohsen Ghaffari. Polylogarithmic-time deterministic network decomposition and distributed derandomization. In STOC, page to appear, 2020. Deterministic Construction 2 (2020)]",Deterministic Construction 2,2020,"Vaclav Rozhon and Mohsen Ghaffari. Polylogarithmic-time deterministic network decomposition and distributed derandomization. In STOC, page to appear, 2020.",,,,,,,,,,,O(log8 n),"Vaclav Rozhon and Mohsen Ghaffari. Polylogarithmic-time deterministic network decomposition and distributed derandomization. In STOC, page to appear, 2020.",,,,,local,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clustering Algorithm,1,Clustering Algorithm,,"There is a deterministic distributed algorithm that, in O(log6 n) rounds in the LOCAL model, finds a subset S 0 ⊆ S of living vertices, where |S 0 | > |S|/2, such that the subgraph G[S 0 ] induced by set S 0 is partitioned into non-adjacent disjoint clusters, each of weak-diameter O(log3 n) in graph G.",,,,,,,,,,,,,,,,,,O(log6 n),,,O(log3 n),,,,,,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,,,,Finding a spanning tree with minimum total weight,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/357195.357200  (1983)],,1983,https://dl.acm.org/doi/pdf/10.1145/357195.357200,,,,,,,,O(E + NlogN),messages,https://dl.acm.org/doi/pdf/10.1145/357195.357200,O(NlogN),https://dl.acm.org/doi/pdf/10.1145/357195.357200,,,"N: number of graph nodes
E: number of edges",,Congest,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,0.001,,,Finding a spanning tree with minimum total weight,,,,,,,[https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4568149  (1985)],,1985,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4568149,,,,,,,,O(E + NlogN),messages,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4568149,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4568149,,,"N: number of graph nodes
E: number of edges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/28395.28421  (1987)],,1987,https://dl.acm.org/doi/pdf/10.1145/28395.28421,,,,,,,,O(E + VlogV),messages,https://dl.acm.org/doi/pdf/10.1145/28395.28421,O(V),https://dl.acm.org/doi/pdf/10.1145/28395.28421,,,"N: number of graph nodes
E: number of edges",,Congest,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://www.researchgate.net/publication/220616582_A_SubLinear_Time_Distributed_Algorithm_for_Minimum-Weight_Spanning_Trees  (1995)],,1995,https://www.researchgate.net/publication/220616582_A_SubLinear_Time_Distributed_Algorithm_for_Minimum-Weight_Spanning_Trees,,,,,,,,,,,O(D + n^epsilon log*n),https://www.researchgate.net/publication/220616582_A_SubLinear_Time_Distributed_Algorithm_for_Minimum-Weight_Spanning_Trees,,,"n: number of graph nodes
D: graph diameter
epsilon = ln3 / ln6",,Congest,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,Application of a fast k-Dominating Set algorithm,,Finding a spanning tree with minimum total weight,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/224964.224990  (1995)],,1995,https://dl.acm.org/doi/pdf/10.1145/224964.224990,,,,,,,,,,,O(n^(1/2)log*n + D),https://dl.acm.org/doi/pdf/10.1145/224964.224990,,,"n: number of graph nodes
D: graph diameter
",,Congest,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://arxiv.org/pdf/1703.02411.pdf  (2017)],,2017,https://arxiv.org/pdf/1703.02411.pdf,,,,,,,,O(mlogn + (nlogn) log*n),messages,https://arxiv.org/pdf/1703.02411.pdf,O((D + n^(1/2)) log n),https://arxiv.org/pdf/1703.02411.pdf,,,"n: number of graph nodes
m: number of edges
D: graph diameter",,Congest,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,0.001,,,Finding a spanning tree with minimum total weight,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3087801.3087827?casa_token=N_pwQthOKmUAAAAA:NU5tllIrcUFzqU3aPBKqHVpyQM_Cp7hiYmNifPB_qyEgEylCHAuzsCSoR28INVytyRNnJGBpDhaNKw  (2017)],,2017,https://dl.acm.org/doi/pdf/10.1145/3087801.3087827?casa_token=N_pwQthOKmUAAAAA:NU5tllIrcUFzqU3aPBKqHVpyQM_Cp7hiYmNifPB_qyEgEylCHAuzsCSoR28INVytyRNnJGBpDhaNKw,,,,,,,,,,,,,,,,,Congest,,Yes,Las Vegas,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://arxiv.org/pdf/1607.06883.pdf  (2018)],,2018,https://arxiv.org/pdf/1607.06883.pdf,,,,,,,,Õ(m),messages,https://arxiv.org/pdf/1607.06883.pdf,Õ(D + n^(1/2)),https://arxiv.org/pdf/1607.06883.pdf,,,"n: number of graph nodes
m: number of edges
D: graph diameter",,Congest,,Yes,Las Vegas,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://www.research-collection.ethz.ch/handle/20.500.11850/315337  (2018)],,2018,https://www.research-collection.ethz.ch/handle/20.500.11850/315337,,,,,,,,"Õ(min(n^(3/2), m))",messages,https://www.research-collection.ethz.ch/handle/20.500.11850/315337,Õ(D + n^(1/2)),https://www.research-collection.ethz.ch/handle/20.500.11850/315337,,,"n: number of graph nodes
m: number of edges
D: graph diameter",,Congest,,Yes,Las Vegas,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Spanning Tree,1,,,Finding a spanning tree with minimum total weight,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3380546?casa_token=ehRtETWEBjkAAAAA:9-yaE0ChoFo92WwZtGsWKa2kf6kfx6hd51ex0_zIb5i_N7o7YBx0c4LLt0mwuIknNMMVYmCQrJWMoQ  (2020)],,2020,https://dl.acm.org/doi/pdf/10.1145/3380546?casa_token=ehRtETWEBjkAAAAA:9-yaE0ChoFo92WwZtGsWKa2kf6kfx6hd51ex0_zIb5i_N7o7YBx0c4LLt0mwuIknNMMVYmCQrJWMoQ,,,,,,,,O(mlogn + (nlogn) log*n),messages,https://dl.acm.org/doi/pdf/10.1145/3380546?casa_token=81ou0VdGAEoAAAAA:Gh1BfyeI0zFbhdoZxXsl-Yub8w8xXYpevbC0vYUaZYLGlP_5XvAW_quQlS5u7lJfQti20oba2JsKpA,O((D + n^(1/2)) logn),https://dl.acm.org/doi/pdf/10.1145/3380546?casa_token=81ou0VdGAEoAAAAA:Gh1BfyeI0zFbhdoZxXsl-Yub8w8xXYpevbC0vYUaZYLGlP_5XvAW_quQlS5u7lJfQti20oba2JsKpA,,,"n: number of graph nodes
m: number of edges
D: graph diameter",,Congest,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,,,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,1,1/ε approximation,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://arxiv.org/pdf/1305.5520.pdf  (2013)],,2013,https://arxiv.org/pdf/1305.5520.pdf,,,,,,,,,,,O(D) + O(n^((1/2) + ε) log^3(n) log(logn)log*n),https://arxiv.org/pdf/1305.5520.pdf,,,"n: number of graph nodes
D: graph diameter",,Congest,,Yes,Las Vegas,Yes,"O(1/ε), ε in range (0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,1,2 + ε approximation,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://arxiv.org/pdf/1305.5520.pdf  (2013)],,2013,https://arxiv.org/pdf/1305.5520.pdf,,,,,,,,,,,O((D + n^(1/2) log*n) log^2(n) log(logn) 1/ε^5),https://arxiv.org/pdf/1305.5520.pdf,,,"n: number of graph nodes
D: graph diameter",,Congest,,Yes,Las Vegas,Yes,"2 + ε, ε > 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,,,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://dl.acm.org/doi/pdf/10.1145/2612669.2612706?casa_token=txOlIa5V41sAAAAA:tMIAwQ4-R-ablfyw7oeE6OVlD1V76jMwgj39HCcUkRsvxQ6j0hWHccZQNTKhSuUCwMzjS1woXVcKuw  (2014)],,2014,https://dl.acm.org/doi/pdf/10.1145/2612669.2612706?casa_token=txOlIa5V41sAAAAA:tMIAwQ4-R-ablfyw7oeE6OVlD1V76jMwgj39HCcUkRsvxQ6j0hWHccZQNTKhSuUCwMzjS1woXVcKuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,,,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://dl.acm.org/doi/abs/10.1145/3212734.3212750  (2018)],,2018,https://dl.acm.org/doi/abs/10.1145/3212734.3212750,,,,,,,,,,,,,,,,,Congested Clique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,,,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://dl.acm.org/doi/10.1145/3313276.3316346  (2019)],,2019,https://dl.acm.org/doi/10.1145/3313276.3316346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,,,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3406325.3451020?casa_token=Np84jW6NR8QAAAAA:7hKDr2WMCm4Osl_Jq-nuADiX5u4Xf4t8GOtH3qvMN6eK22VeOyvo_hU26Na6R-RKa7j7WMl-tMMx  (2021)],,2021,https://dl.acm.org/doi/pdf/10.1145/3406325.3451020?casa_token=Np84jW6NR8QAAAAA:7hKDr2WMCm4Osl_Jq-nuADiX5u4Xf4t8GOtH3qvMN6eK22VeOyvo_hU26Na6R-RKa7j7WMl-tMMx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MinCut,,,,"Finding a cut with minimum total weight .. there are better algorithms for (1+epsilon) approximation, so look into those first",,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3519270.3538429?casa_token=BNR0TcvdUaMAAAAA:X4HuiIi_4Ubtumbx2vhncXBiiARejlV17sIrzRWseqVEmcv-UHhjeA9d1BHJZtKHd4HZru4YwTDw  (2022)],,2022,https://dl.acm.org/doi/pdf/10.1145/3519270.3538429?casa_token=BNR0TcvdUaMAAAAA:X4HuiIi_4Ubtumbx2vhncXBiiARejlV17sIrzRWseqVEmcv-UHhjeA9d1BHJZtKHd4HZru4YwTDw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
