 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Parallel Algorithm Span References,Parallel Algorithm Work,Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,2,,,"shared memory parallel sorting, enumeration",,,,,,,,Muller and Preperata,1975,https://dl.acm.org/doi/pdf/10.1145/321879.321882,,,,,,,,O(log(n)),O(\lg(n)),,O(n^2),,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,,,,,,,,,,,,,,1,O(n^2),,,"first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167, mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Parallel Merge Sort - Valiant,1975,https://epubs.siam.org/doi/abs/10.1137/0204030,,,,,,,,2logn*loglogn + 0(logn),2logn*loglogn + 0(logn),,O(n log n),https://epubs.siam.org/doi/abs/10.1137/0204030,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,,,,,,,,,,,,,,1,n/2,,,first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Gavril,1975,https://dl.acm.org/doi/abs/10.1145/361020.361216,,,,,,,,2[log2(2m -}- 1)] + [3m/p] -t- [m/p][log2(n/m)],,,,,,,,,,sorting network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Drysdale, Young",1975,https://epubs.siam.org/doi/abs/10.1137/0204022,,,,,,,,0.25 log n (loglog n)^2-0.386log n loglog n +O(log n) ??,,,,,,n: size of list,,,,sorting network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Parallel bucket-sort - Hirschberg (1),1977,https://dl.acm.org/doi/abs/10.1145/359576.359582,,,,,,,,O(log(n)),O(log n),,O(n log n),,,"n: size of list
m-1: largest number in list",,https://dl.acm.org/doi/abs/10.1145/359576.359582,,SIMD-SM-R,,,,,,,,,,,,,,1,n,,,space complexity: O(nm),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"""enumeration sorting""",,,,,,,,Parallel bucket-sort - Hirschberg (2),1977,https://dl.acm.org/doi/abs/10.1145/359576.359582,,,,,,,,O(klog(n)),O(log n),,O(klog(n)n^(1+1/k)) ?,,,"n: size of list
m-1: largest number in list
k: arbitrary int >=2",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,SIMD-SM-R,,,,,,,,,,,,,,1,n^(1+1/k),,,"space complexity: O(nm)
first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"Uses Valiant's [1975] merge technique; ""enumeration sorting"", allows fetch conflicts",,,,,,,,Preperata (1),1977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167&tag=1,,,,,,,,O(log(n)),,,,,,n: size of list,,,,SIMD-SM-R ? (memory fetch conflicts),,,,,,,,,,,,,,1,n log(n),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"Uses Valiant's [1975] merge technique; ""enumeration sorting"", doesn't allow fetch conflicts",,,,,,,,Preperata (2),1977,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167&tag=1,,,,,,,,O(log(n)),,,,,,"n: size of list
0>alpha<=1",,,,SIMD-SM ? (no memory fetch conflicts),,,,,,,,,,,,,,1,n^(1+alpha),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,s^2-way merge sort - Thompson and Kung (1),1977,https://dl.acm.org/doi/abs/10.1145/359461.359481,,,,,,,,O(sqrt(n)),O(sqrt(n)),,O(n sqrt(n)),,optimal within a factor of 2 for large n,"n: size of list (n=mxm, m assumed to be power of 2)",,,,"similar to ILLIAC IV machine, SIMD",,,,,,,,,,,,,,1,n,,,mentions lower bound,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,adaptation of Batcher's bitonic merge sort - Thompson and Kung (2),1977,https://dl.acm.org/doi/abs/10.1145/359461.359481,,,,,,,,O(sqrt(n)),O(sqrt(n)),,O(n sqrt(n)),,optimal within a factor of 4.5,"n: size of list (n=mxm, m assumed to be power of 2)",,,,"similar to ILLIAC IV machine, SIMD",,,,,,,,,,,,,,1,n,,,mentions lower bound,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Siegel,1977,https://dl.acm.org/doi/abs/10.1145/800255.810655,,,,,,,,O(log^2(n)),,,,,,,,,,SIMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,Hardware sorter,,,,,,,,"Rebound sort - Chen, Lum, Tung",1978,https://dl.acm.org/doi/abs/10.5555/1286643.1286685,,,,,,,,,,,,,,,,,,hardware sorter ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Chen, Eswaran, Lum, Tung",1978,https://link.springer.com/article/10.1007/BF00991635,,,,,,,,(n+1)/2,(n-1) comparators,,,,,n: size of list,,,,hardware sorter,,,,,,,,,,,,,,1,n-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Todd,1978,https://ieeexplore.ieee.org/abstract/document/5390917,,,,,,,,2n+log n-1,O(n),,O(n log n),,,n: size of list,,,,hardware sorter,,,,,,,,,,,,,,1,log n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,parallel tree sort,,,,,,,,Bentley and Kung,1979,https://www.eecs.harvard.edu/htk/static/files/bg891xp4727.pdf,,,,,,,,O(n),O(n),,O(n^2),https://www.eecs.harvard.edu/htk/static/files/bg891xp4727.pdf,mentions speedup,"n: size of list
p: number of square nodes in tree
log p<=n<=p",,,,"""suitable for VLSI implementation""",,,,,,,,,,,,,,,p?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,adaptation of Batcher's bitonic sort on a mesh-connected processor array,,,,,,,,Nassimi and Sahni,1979,https://ieeexplore.ieee.org/abstract/document/1675216,,,,,,,,O(sqrt(n)),O(sqrt(n)),,O(n^3),,,n: size of list,,,,SIMD,,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,network sorter,,,,,,,,Preperata and Vuillemin,1979,https://ieeexplore.ieee.org/abstract/document/4568010,,,,,,,,O(n/(logn)^2),,,,,,,,,,"network sorter? ""compliant with VLSI design""",,,,,,,,,,,,,,,,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"Hardware sorter; block access memory, has two processor-to-processor interconnections",,,,,,,,odd-even sort - Hsiao and Menon (1),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,O(n/p log(n/p) + n),O(n/p log(n/p) + n),,O(n log(n/p) + np),,YES,"n: size of list
p: number of processors
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"Hardware sorter; block access memory, has two processor-to-processor interconnections",,,,,,,,modified Stone sort - Hsiao and Menon (2),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,O(n/p log(n/p) + n/p log^2(p)),O(n/p log(n/p) + n/p log^2(p)),,O(n log(n/p) + n log^2(p)),,YES,"n: size of list
p: number of processors
p - has to be a power of 2
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,hardware sorter; only works for specific number of processors - once built works only for the given value of p,,,,,,,,specialized minimum time sort - Hsiao and Menon (3),1980,https://apps.dtic.mil/sti/citations/ADA090192,,,,,,,,O(n/p log(n/p)),O(n/p log(n/p)),,O(n log(n/p)),,YES,"n: size of list
p: number of processors
n restricted (only) to memeory size of each processor = n/p",,,,hardware sorter ?,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Chung et al.,1980,https://ieeexplore.ieee.org/abstract/document/5390784,,,,,,,,O(n),,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"uniform ladder - Chin, Fok (1)",1980,https://ieeexplore.ieee.org/abstract/document/1675633,,,,,,,,O(N^2),,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"sorting on two or more ladders - Chin, Fok",1980,https://ieeexplore.ieee.org/abstract/document/1675633,,,,,,,,2n+1,,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,two round sorting,,,,,,,,Haggkvist and Hell,1981,https://epubs.siam.org/doi/abs/10.1137/0210034,,,,,,,,2 // O(1),O(1),,O(n^(3/2)log(n)),,,,,https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5,,,,,,,,,,,,,,,,1,O(n^(3/2)log(n)),,,"mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf)
mentions lower bounds",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Lee et al.,1981,https://ieeexplore.ieee.org/abstract/document/1675805,,,,,,,,(log2 k) * (log2 k + 3) * k * n/2,,,,,,k is the number of chips of data to be merged and n is the number of elements in each chip,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Shiloach and Vishkin,1981,https://link.springer.com/chapter/10.1007/BFb0105127,,,,,,,,"O(n/p log n + log n log p) for p<=n
O(log^2(n)/log(p/n) + log n) for p>=n",O(log n),,O(n log n) if p<n or O(p log n) if p>=n,,"optimal for p<=n/log n,
same result for p=ceiling(n^(1+1/k)) as Hirschberg '78 and Preperata '78","n: size of list
p: number of processors",,,,SIMD-R ??,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,randomized,,,,,,https://ieeexplore.ieee.org/abstract/document/4568337,,Reischuk,1981,https://ieeexplore.ieee.org/abstract/document/4568337,,,,,,,,O(logn),O(log n) expected,,O(n log n) expected,,,n: size of list,,,,CREW PRAM,,,,,,,,,1,,,,,1,n,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,hardware sorter,,,,,,,,Dohi et al.,1982,https://dl.acm.org/doi/abs/10.1145/1067649.801730,,,,,,,,n b tau (a+1+(n-l)/2^(l-1)),n b tau (a+1+(n-l)/2^(l-1)),,2^l n b tau (a+1+(n-l)/2^(l-1)),,,"n: size of list (power of two)
b: length of data items in bytes
l: level of bottom processors
tau=1/T: average time to send byte from node after sorting
M: bus transfer rate
a=T/M",,,,hardware sorter,,,,,,,,,,,,,,1,2^l,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Parallel enumeration sorting scheme - Yasuura et al.,1982,https://ieeexplore.ieee.org/abstract/document/1675943,,,,,,,,,,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"N&S sort - Nassimi, Sahni",1982,https://dl.acm.org/doi/pdf/10.1145/322326.322329,,,,,,,,O(k log n),O(log n),,O(n^(1+1/k)k log n),,,"n: size of list (power of two ?)
1<=k<=log n",,,,"network sorter, SIMD (Cube connected and perfect shuffle)",,,,,,,,,,,,,,1,n^(1+1/k),,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Cheung, Dhall, Lakshmivarahan, Miller, Walker",1982,https://dl.acm.org/doi/abs/10.1145/800174.809751,,,,,,,,O(n),O(n),,O(n log n),,,n: size of list,,,,"""we assume a model of
synchronous distributed control where all the processors have the same set of instructions which are
executed in the same order""",,,,,,,,,,,,,,1,O(log n),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,"""sorting network""; expander graphs, epsilon-halving, epsilon-nearsort",,,,,,,,"Ajtai, Komlos, Szemeredi (AKS)",1983,https://dl.acm.org/doi/pdf/10.1145/800061.808726,"""very large""; ""unsuitable for actual implementation""",,https://dl.acm.org/doi/pdf/10.1145/800061.808726,,,,,O(log(n)),O(log(n)) ?,https://dl.acm.org/doi/pdf/10.1145/800061.808726,O(n log^2(n)) ?,https://dl.acm.org/doi/pdf/10.1145/800061.808726,,n: size of list,n,,,"""comparator network - deterministic sequence of switches"" ??",,,,,,,,,,,,,,1,n log(n),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Kumar and Hirschberg,1983,https://ieeexplore.ieee.org/abstract/document/1676217,,,,,,,,11n^(1/2)t_r+2log n^(1/2) t_c +5/2 n^(1/2) t_e,11n^(1/2)t_r+2log n^(1/2) t_c +5/2 n^(1/2) t_e,,11n^(3/2)t_r+2nlog n^(1/2) t_c +5/2 n^(3/2) t_e,,,"n: size of list
t_r: routing time
t_c: compare-exchange time
t_e: exchange time",,,,"network sorter, SIMD ?",,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Thompson,1983,https://link.springer.com/chapter/10.1007/978-3-642-68402-9_13 (page 119 in pdf),,,,,,,,,,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Kruskal,1983,https://ieeexplore.ieee.org/abstract/document/1676138/authors#authors,,,,,,,,1.893 log n loglog n / logloglog n,ceiling(log n/log G)((G-1)/floor(p/n)+log((G-1)/floor(p/n))+3/log3 loglog(p^2/n) +6) +O(Gn/p) = ??,https://ieeexplore.ieee.org/abstract/document/1676138/authors#authors,O(n log n loglog n / logloglog n),,,"n: size of list
p: number of processors
G: number of processor groups",,,,CREW PRAM,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Bilardi and Preperata,1983,https://dl.acm.org/doi/abs/10.1145/800057.808666,,,,,,,,O(log n),,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Akl,1983,https://link.springer.com/article/10.1007/BF02243071,,,,,,,,O(n^epsilon),approaching O(1) ?,,O(nlog n),https://link.springer.com/article/10.1007/BF02243071,,"n: size of list
0<epsilon<1",,,,SIMD,,,,,,,,,,,,,,1,n^(1-epsilon),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,randomized,,,,O(log n),,,,Reif and Valiant,1983,https://dl.acm.org/doi/abs/10.1145/800061.808727,,,,,,,,O(alpha log n) w/ high (1-n^(-alpha)) probability for big alpha,O(log n) expected,,O(n log n) expected,,,n: size of list,,,,sorting network,,,,,,,,,1,,,,,1,n,,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,two round sorting,,,,,,,,Bollobas and Thomason,1983,https://www.sciencedirect.com/science/article/pii/0166218X83900951,,,,,,,,2 // O(1),O(1),,O(n^(3/2)log(n)),,,,,https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5,,,,,,,,,,,,,,,,1,O(n^(3/2)log(n)),,,mentioned in https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Huang, Chow",1983,https://www.osti.gov/biblio/5170114,,,,,,,,,,,,,,,,,,sorting network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Miranker, Tang, Wong",1983,https://ieeexplore.ieee.org/abstract/document/5390461,,,,,,,,,,,,,,,,,,hardware sorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Non-Comparison Sorting,25,,,1,1,O(n),Any distribution,need to read entire input,[https://link.springer.com/chapter/10.1007/978-94-009-2794-0_11 Spaghetti Sort Parallel Implementation - Steiglitz (1984)],Spaghetti Sort Parallel Implementation - Steiglitz,1984,https://link.springer.com/chapter/10.1007/978-94-009-2794-0_11,,,,0,0,3,n: 3,O(n),,,,,,n: size of list,n,,,???,words,1,n: 1,O(1) auxiliary? per processor?,"Assuming getting the spaghetti rods doesn't take up any auxiliary space, the only auxiliary space in this algorithm involves the table and the hands, each using O(1) space",1,0,,0,,0,,0,1,,0,0,https://en.wikipedia.org/wiki/Spaghetti_sort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Cyclic sort - Johnsson (1),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n log n/p) when p<<n
O(log^2(n)) when n~=p",O(log^2(n)),,"O(np log n/p) when p<<n
O(nlog^2(n)) when n~=p",,,"n: size of list
p: number of processors (power of 2)",,,,MIMD,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Consecutive sort - Johnsson (2),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n log n/p) when p<<n
O(log^2(n)) when n~=p",O(log^2(n)),,"O(np log n/p) when p<<n
O(nlog^2(n)) when n~=p",,,"n: size of list
p: number of processors (power of 2)",,,,MIMD,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Bucket sort - Johnsson (3),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n/p+L) when p<=L
O(n/p+L+log p log L) when p>L",O(n/p+L+log p log L) when p>L,,"O(n+pL) when p<=L
O(n+pL+plog p log L) when p>L",,,"n: size of list
p: number of processors (power of 2)
L: number of buckets elements are sorted into",,,,MIMD,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
